Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6319678954,1.43055286675;"{""type"": ""LineString"", ""coordinates"": [[1.431862303833051, 43.63220354353313], [1.429243429672248, 43.63173224719359]]}";RUE ADONIS;ADONIS (RUE ADONIS);1663;1663;TOULOUSE;31555;315550038422;3105550056;217;Zone de Rencontre;16/043;2016-05-20T02:00:00+02:00;2016;Nord;oui;oui;
43.6189156798,1.4389817711;"{""type"": ""LineString"", ""coordinates"": [[1.436991070890522, 43.619198269316584], [1.438067681995324, 43.61905164976179], [1.439027114100314, 43.61890314123451], [1.440972854329214, 43.618635648342526]]}";RUE PIERRE D ARAGON;ARAGON (RUE PIERRE D ARAGON);2047;2047;TOULOUSE;31555;315550214413;3105556884;327;Zone de Rencontre;16/041;2016-05-20T02:00:00+02:00;2016;Nord;oui;oui;
43.6577686958,1.43475274127;"{""type"": ""LineString"", ""coordinates"": [[1.433961078520485, 43.657670020648425], [1.435544404024998, 43.65786737097929]]}";CHE DE LAPPAROU;LAPPAROU (CHE DE LAPPAROU);1282;1282;TOULOUSE;31555;315553878453;3105555024;129;Zone de Rencontre;16/116;2016-10-07T02:00:00+02:00;2016;Nord;;;
43.6122034841,1.44039347492;"{""type"": ""LineString"", ""coordinates"": [[1.441180421131478, 43.61208718993624], [1.439606528707152, 43.61231977826502]]}";RUE EDOUARD DULAURIER;DULAURIER (RUE EDOUARD DULAURIER);2652;2652;Toulouse;31555;315552441622;3105552804;129;Zone de Rencontre;17/095;2017-05-16T02:00:00+02:00;2017;Centre;oui;oui;
43.6062814045,1.44089894242;"{""type"": ""LineString"", ""coordinates"": [[1.441199133274016, 43.60605954829301], [1.440598751574822, 43.60650326061102]]}";RUE DES LOIS;LOIS (RUE DES LOIS);3140;3140;Toulouse;31555;315554160059;3105555304;69;Zone de Rencontre;17/167;2017-10-06T02:00:00+02:00;2017;Centre;oui;oui;
43.6438668212,1.47214335438;"{""type"": ""LineString"", ""coordinates"": [[1.474933950642262, 43.64256920619998], [1.474440554272891, 43.64290416983119], [1.474159446244988, 43.643063815187425], [1.473554121765458, 43.64330047129653], [1.472786656408974, 43.643578455064564], [1.472611779339088, 43.64359888546709], [1.472399584150029, 43.64358685608899], [1.472205483510658, 43.643585381797784], [1.471972241009271, 43.64367820991056], [1.470672585677259, 43.64453682756704], [1.47013006400117, 43.64493289643021], [1.469572861262197, 43.64526261164861], [1.469429305697523, 43.64518961314795]]}";CHE BERNARD SARRETTE;SARRETTE (CHE BERNARD SARRETTE);192;192;Toulouse;31555;315556505636;3105551092;552;Zone de Rencontre;17/168;2017-10-06T02:00:00+02:00;2017;nord;;;
43.6413811404,1.47629665803;"{""type"": ""LineString"", ""coordinates"": [[1.477392447043233, 43.639936838039816], [1.477187551089031, 43.640303247379705], [1.476671258405942, 43.6410748569996], [1.476362325348073, 43.64150393599752], [1.475920519863943, 43.64191252995342], [1.475550727402874, 43.64216989881531], [1.474933950642262, 43.64256920619998]]}";CHE BERNARD SARRETTE;SARRETTE (CHE BERNARD SARRETTE);193;193;Toulouse;31555;315556505636;3105551092;359;Zone de Rencontre;17/168;2017-10-06T02:00:00+02:00;2017;nord;;;
43.6394070428,1.47750266459;"{""type"": ""LineString"", ""coordinates"": [[1.47740242415468, 43.63888103311659], [1.477503065429989, 43.63903980587766], [1.47756181250664, 43.63930232621344], [1.47753769473865, 43.639530159683474], [1.477492731568833, 43.6397578357673], [1.477392447043233, 43.639936838039816]]}";CHE BERNARD SARRETTE;SARRETTE (CHE BERNARD SARRETTE);194;194;Toulouse;31555;315556505636;3105551092;121;Zone de Rencontre;17/168;2017-10-06T02:00:00+02:00;2017;nord;;;
43.60641385,1.43987574495;"{""type"": ""LineString"", ""coordinates"": [[1.440598751574822, 43.60650326061102], [1.439963580570386, 43.60614154630447], [1.43920476396083, 43.60681768750243]]}";RUE URBAIN VITRY;VITRY (RUE URBAIN VITRY);3139;3139;Toulouse;31555;315557299238;3105558668;162;Zone de Rencontre;17/170;2017-10-06T02:00:00+02:00;2017;centre;oui;oui;
43.5883941357,1.45090910893;"{""type"": ""LineString"", ""coordinates"": [[1.450764665823605, 43.58834759265157], [1.451053552044657, 43.58844067873504]]}";PL DU BUSCA;BUSCA (PL DU BUSCA);8002;8002;Toulouse;31555;315551251209;3105551464;25;Zone de Rencontre;19/087;2019-06-07T02:00:00+02:00;2019;Centre;oui;oui;
